Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,64.089996,64.669998,63.889999,64.120003,63.709911,12912800
2019-02-27,64.239998,64.580002,63.680000,64.400002,63.988117,13495700
2019-02-28,64.459999,64.660004,63.840000,63.980000,63.570805,14209300
2019-03-01,64.779999,65.690002,64.110001,64.470001,64.057671,14376000
2019-03-04,64.529999,65.300003,63.110001,63.750000,63.342274,15786600
2019-03-05,63.660000,63.660000,61.910000,62.930000,62.527519,18754900
2019-03-06,62.700001,63.070000,62.099998,62.509998,62.110203,12711200
2019-03-07,62.029999,62.119999,61.209999,61.900002,61.504108,15777200
2019-03-08,60.959999,62.119999,60.759998,62.060001,61.663086,14304400
2019-03-11,62.529999,62.959999,62.180000,62.310001,61.911484,14167600
2019-03-12,62.299999,62.939999,61.959999,62.810001,62.408287,14772000
2019-03-13,63.139999,64.230003,63.000000,63.650002,63.242916,13781100
2019-03-14,63.689999,64.269997,63.419998,64.110001,63.699974,12193600
2019-03-15,64.160004,65.269997,64.019997,65.190002,64.773064,37840300
2019-03-18,65.209999,66.180000,65.209999,65.930000,65.508331,15601100
2019-03-19,66.459999,66.830002,65.349998,65.629997,65.210251,12723600
2019-03-20,65.260002,65.599998,64.220001,64.300003,63.888760,17494000
2019-03-21,63.669998,64.309998,62.919998,63.910000,63.501251,18638300
2019-03-22,62.980000,63.230000,60.450001,60.980000,60.589989,27527400
2019-03-25,60.980000,61.660000,60.049999,60.330002,59.944149,20899300
2019-03-26,60.990002,61.349998,60.529999,61.220001,60.828457,14740300
2019-03-27,61.380001,61.660000,60.720001,60.730000,60.341587,16359600
2019-03-28,60.950001,62.000000,60.820000,61.980000,61.583595,12081000
2019-03-29,62.330002,62.810001,61.959999,62.220001,61.822060,13406300
2019-04-01,62.849998,64.629997,62.820000,64.360001,63.948372,17736300
2019-04-02,64.239998,64.860001,63.919998,64.419998,64.007988,9915800
2019-04-03,64.989998,65.349998,64.529999,65.059998,64.643890,11560800
2019-04-04,64.809998,66.199997,64.809998,65.820000,65.399033,11915700
2019-04-05,65.930000,66.410004,65.190002,65.550003,65.130768,11062400
2019-04-08,65.129997,66.099998,65.019997,66.070000,65.647438,10466400
2019-04-09,65.599998,65.599998,64.680000,65.199997,64.782997,10221000
2019-04-10,65.480003,65.690002,64.779999,65.519997,65.100952,12293300
2019-04-11,65.800003,66.440002,65.309998,65.910004,65.488464,11358700
2019-04-12,67.080002,68.309998,66.639999,67.419998,66.988800,19238700
2019-04-15,67.389999,67.779999,66.269997,67.379997,66.949059,19493900
2019-04-16,67.500000,69.419998,67.389999,69.309998,68.866714,18635700
2019-04-17,69.949997,70.750000,69.559998,70.349998,69.900063,20509000
2019-04-18,70.010002,70.389999,69.620003,69.669998,69.224411,13513800
2019-04-22,69.580002,69.709999,69.010002,69.089996,68.648117,13195600
2019-04-23,68.839996,69.300003,68.379997,69.199997,68.757416,13205000
2019-04-24,68.989998,69.220001,68.400002,68.830002,68.389786,9699900
2019-04-25,68.559998,69.180000,68.150002,68.730003,68.290428,8913600
2019-04-26,68.900002,69.580002,68.510002,69.510002,69.065437,10692700
2019-04-29,69.690002,71.940002,69.580002,71.029999,70.575714,16491400
2019-04-30,71.019997,71.330002,70.220001,70.699997,70.247818,11122000
2019-05-01,70.680000,71.169998,69.739998,69.959999,69.512558,13261700
2019-05-02,69.739998,70.480003,69.480003,70.360001,69.909996,12186700
2019-05-03,70.389999,70.980003,70.000000,70.669998,70.669998,11486700
2019-05-06,69.050003,70.669998,68.760002,70.410004,70.410004,12004000
2019-05-07,69.349998,69.500000,67.620003,68.160004,68.160004,17673400
2019-05-08,67.879997,68.849998,67.709999,68.220001,68.220001,9470500
2019-05-09,66.830002,67.860001,66.430000,67.629997,67.629997,16994200
2019-05-10,67.269997,68.099998,66.529999,67.900002,67.900002,12318700
2019-05-13,66.129997,66.330002,63.959999,64.379997,64.379997,23494400
2019-05-14,64.620003,65.970001,64.349998,65.260002,65.260002,15096400
2019-05-15,64.459999,65.220001,64.019997,64.870003,64.870003,14570900
2019-05-16,65.309998,66.389999,65.169998,65.980003,65.980003,10573100
2019-05-17,64.970001,65.930000,64.889999,65.070000,65.070000,11503500
2019-05-20,64.750000,65.500000,64.519997,64.959999,64.959999,11605900
2019-05-21,65.500000,66.089996,65.199997,66.080002,66.080002,11051500
2019-05-22,65.839996,65.919998,64.639999,64.660004,64.660004,12564900
2019-05-23,63.820000,63.939999,63.080002,63.900002,63.900002,15042200
2019-05-24,64.290001,64.709999,64.059998,64.389999,64.389999,9715400
2019-05-28,64.089996,64.449997,63.759998,63.790001,63.790001,14727400
2019-05-29,63.150002,63.830002,62.720001,63.709999,63.709999,13836300
2019-05-30,64.769997,65.250000,63.250000,63.610001,63.610001,13570900
2019-05-31,62.389999,62.869999,61.970001,62.150002,62.150002,19968900
2019-06-03,62.099998,62.779999,61.939999,62.610001,62.610001,19636800
2019-06-04,63.790001,65.940002,63.759998,65.879997,65.879997,17743100
2019-06-05,65.449997,66.019997,64.500000,65.779999,65.779999,12536300
2019-06-06,65.820000,66.769997,65.500000,66.470001,66.470001,10868900
2019-06-07,66.160004,66.800003,65.620003,65.690002,65.690002,11674200
2019-06-10,66.879997,67.980003,66.730003,67.120003,67.120003,10992900
